CodigoAsignatura,Asignatura
Acp,Acompañamiento
Alc,Alemán
Am,Armonía
An,Análisis
Ba,Banda
Ca,Canto
Cb,Contrabajo
GiCj,Conjunto_Guitarra
PiCj,Conjunto_Piano
Cl,Clarinete
Co,Coro
Co1,Coro1_Optativa
Co2,Coro2_Optativa
Ea1,Educación_Auditiva1
Ea2,Educación_Auditiva2
Ep,Edición_de_Partituras
Fc,Fundamentos_de_Composición
Fg,Fagot
Frc,Francés
Ft,Flauta
Gi,Guitarra
Hm,Historia_de_la_Música
Inc,Iniciación_al_Canto
Ipe,Iniciación_a_la_Percusión
Itc,Italiano
Jz1,Jazz1
Lm,Lenguaje_Musical
Mc,Música_de_Cámara
Ob,Oboe
Oq,Orquesta
PA1E,PA1E
Pc,Piano_Complementario
Pe,Percusión
Pi,Piano
Sx,Saxofón
Tb,Trombón
Tp,Trompa
Tr,Trompeta
Tu,Tuba
Va,Viola
Vc,Violoncello
Vi,Violín
