CURSO_ESCO	GRADO	CURSO	ESPECIALID	ASIGNATURA	NOTA_EXAME	NOTA_EXAME	
----------	----------	----------	----------	----------	----------	----------	
2013	E	1	Cl	CCCL			
2013	E	1	Cl	CCCL			
2013	E	1	Cl	CCCL			
2013	E	1	Cl	CCCL			
2013	E	1	Cl	CCCL			
2013	E	1	Cl	Cl	7		
2013	E	1	Cl	Cl	7		
2013	E	1	Cl	Cl	8		
2013	E	1	Cl	Cl	7		
2013	E	1	Cl	Cl	7		
2013	E	1	Cl	Cl	9		
2013	E	1	Cb	Cb	10		
2013	E	1	Fg	CCFG			
2013	E	1	Fg	Fg	10		
2013	E	1	Ft	CCFL			
2013	E	1	Ft	CCFL			
2013	E	1	Ft	CCFL			
2013	E	1	Ft	CCFL			
2013	E	1	Ft	CCFL			
2013	E	1	Ft	CCFL			
2013	E	1	Ft	CCFL			
2013	E	1	Ft	CCFL			
2013	E	1	Ft	CCFL			
2013	E	1	Ft	Ft	8		
2013	E	1	Ft	Ft	6		
2013	E	1	Ft	Ft	8		
2013	E	1	Ft	Ft	10		
2013	E	1	Ft	Ft	7		
2013	E	1	Ft	Ft	8		
2013	E	1	Ft	Ft	7		
2013	E	1	Ft	Ft	6		
2013	E	1	Ft	Ft	6		
2013	E	1	Gi	CCGU			
2013	E	1	Gi	CCGU			
2013	E	1	Gi	CCGU			
2013	E	1	Gi	CCGU			
2013	E	1	Gi	CCGU			
2013	E	1	Gi	CCGU			
2013	E	1	Gi	CCGU			
2013	E	1	Gi	Gi	9		
2013	E	1	Gi	Gi	6		
2013	E	1	Gi	Gi	9		
2013	E	1	Gi	Gi	5		
2013	E	1	Gi	Gi	6		
2013	E	1	Gi	Gi	5		
2013	E	1	Gi	Gi	6		
2013	E	1	Ob	CCOB			
2013	E	1	Ob	CCOB			
2013	E	1	Ob	CCOB			
2013	E	1	Ob	Ob	10		
2013	E	1	Ob	Ob	8		
2013	E	1	Ob	Ob	7		
2013	E	1	Pe	CCPR			
2013	E	1	Pe	CCPR			
2013	E	1	Pe	CCPR			
2013	E	1	Pe	CCPR			
2013	E	1	Pe	CCPR			
2013	E	1	Pe	Pe	9		
2013	E	1	Pe	Pe	9		
2013	E	1	Pe	Pe	7		
2013	E	1	Pe	Pe	9		
2013	E	1	Pe	Pe	9		
2013	E	1	Pi	CCPI	6		
2013	E	1	Pi	CCPI	7		
2013	E	1	Pi	CCPI	7		
2013	E	1	Pi	CCPI	5		
2013	E	1	Pi	CCPI	7		
2013	E	1	Pi	Pi	8		
2013	E	1	Pi	Pi	5		
2013	E	1	Pi	Pi	9		
2013	E	1	Pi	Pi	6		
2013	E	1	Pi	Pi	7		
2013	E	1	Sx	CCSX			
