Asignatura,Departamento
Acp,Teoría
Alc,Agrupaciones
Am,Teoría
An,Teoría
Ba,Agrupaciones
Ca,Agrupaciones
Cb,Cuerda_Arco
GiCj,Cuerda_Pulsada
PiCj,Piano
Cl,Viento_Madera
Co,Agrupaciones
Co1,Optativa
Co2,Optativa
Ea1,Optativa
Ea2,Optativa
Ep,Optativa
Fc,Teoría
Fg,Viento_Madera
Frc,Agrupaciones
Ft,Viento_Madera
Gi,Cuerda_Pulsada
Hm,Teoría
Inc,Optativa
Ipe,Optativa
Itc,Agrupaciones
Jz1,Optativa
Lm,Teoría
Mc,Agrupaciones
Ob,Viento_Madera
Oq,Agrupaciones
PA1E,Optativa
Pc,Piano
Pe,Viento_Metal_Percusión
Pi,Piano
Sx,Viento_Madera
Tb,Viento_Metal_Percusión
Tp,Viento_Metal_Percusión
Tr,Viento_Metal_Percusión
Tu,Viento_Metal_Percusión
Va,Cuerda_Arco
Vc,Cuerda_Arco
Vi,Cuerda_Arco
