"Departamento","Asignatura","Curso","Nota","Aprobado"
"Teoría","Acompañamiento","5P",9,"SÍ"
"Teoría","Acompañamiento","6P",5,"SÍ"
"Teoría","Acompañamiento","5P",7,"SÍ"
"Teoría","Acompañamiento","5P",5,"SÍ"
"Teoría","Acompañamiento","5P",6,"SÍ"
"Teoría","Acompañamiento","6P",10,"SÍ"
"Agrupaciones","Alemán","3P",NA,NA
"Teoría","Armonía","3P",5,"SÍ"
"Teoría","Armonía","3P",8,"SÍ"
"Teoría","Armonía","3P",3,"NO"
"Teoría","Armonía","3P",3,"NO"
"Teoría","Armonía","3P",6,"SÍ"
"Teoría","Armonía","3P",5,"SÍ"
"Teoría","Armonía","3P",4,"NO"
"Teoría","Armonía","3P",6,"SÍ"
"Teoría","Armonía","3P",5,"SÍ"
"Teoría","Armonía","4P",8,"SÍ"
"Teoría","Armonía","4P",6,"SÍ"
"Teoría","Armonía","3P",6,"SÍ"
"Teoría","Armonía","4P",5,"SÍ"
"Teoría","Armonía","3P",6,"SÍ"
"Teoría","Armonía","4P",NA,NA
"Teoría","Armonía","4P",5,"SÍ"
"Teoría","Armonía","3P",7,"SÍ"
"Teoría","Armonía","4P",5,"SÍ"
"Teoría","Armonía","3P",8,"SÍ"
"Teoría","Armonía","4P",5,"SÍ"
"Teoría","Armonía","3P",NA,NA
"Teoría","Armonía","4P",6,"SÍ"
"Teoría","Armonía","3P",6,"SÍ"
"Teoría","Armonía","4P",7,"SÍ"
"Teoría","Armonía","4P",5,"SÍ"
"Teoría","Armonía","4P",3,"NO"
"Teoría","Armonía","4P",4,"NO"
"Teoría","Armonía","4P",6,"SÍ"
"Teoría","Armonía","3P",7,"SÍ"
"Teoría","Armonía","4P",7,"SÍ"
"Teoría","Armonía","4P",NA,NA
"Teoría","Armonía","4P",8,"SÍ"
"Teoría","Armonía","4P",NA,NA
"Teoría","Armonía","3P",NA,NA
"Teoría","Armonía","3P",7,"SÍ"
"Teoría","Armonía","4P",6,"SÍ"
"Teoría","Armonía","4P",6,"SÍ"
"Teoría","Armonía","3P",8,"SÍ"
"Teoría","Armonía","3P",10,"SÍ"
"Teoría","Armonía","3P",NA,NA
"Teoría","Armonía","4P",NA,NA
"Teoría","Armonía","3P",7,"SÍ"
"Teoría","Armonía","3P",7,"SÍ"
"Teoría","Armonía","4P",10,"SÍ"
"Teoría","Armonía","3P",NA,NA
"Teoría","Armonía","3P",10,"SÍ"
"Teoría","Armonía","3P",NA,NA
"Teoría","Armonía","3P",NA,NA
"Teoría","Armonía","3P",5,"SÍ"
"Teoría","Análisis","5P",7,"SÍ"
"Teoría","Análisis","5P",8,"SÍ"
"Teoría","Análisis","5P",NA,NA
"Teoría","Análisis","5P",7,"SÍ"
"Teoría","Análisis","5P",7,"SÍ"
"Teoría","Análisis","6P",6,"SÍ"
"Teoría","Análisis","5P",4,"NO"
"Teoría","Análisis","5P",5,"SÍ"
"Teoría","Análisis","5P",6,"SÍ"
"Teoría","Análisis","5P",8,"SÍ"
"Teoría","Análisis","6P",NA,NA
"Teoría","Análisis","6P",7,"SÍ"
"Teoría","Análisis","6P",NA,NA
"Teoría","Análisis","5P",5,"SÍ"
"Teoría","Análisis","6P",4,"NO"
"Teoría","Análisis","6P",NA,NA
"Teoría","Análisis","6P",NA,NA
"Teoría","Análisis","6P",6,"SÍ"
"Teoría","Análisis","6P",7,"SÍ"
"Agrupaciones","Banda","5P",10,"SÍ"
"Agrupaciones","Banda","3P",10,"SÍ"
"Agrupaciones","Banda","2P",7,"SÍ"
"Agrupaciones","Banda","2P",7,"SÍ"
"Agrupaciones","Banda","1P",8,"SÍ"
"Agrupaciones","Banda","5P",9,"SÍ"
"Agrupaciones","Banda","1P",7,"SÍ"
"Agrupaciones","Banda","2P",8,"SÍ"
"Agrupaciones","Banda","6P",9,"SÍ"
"Agrupaciones","Banda","4P",6,"SÍ"
"Agrupaciones","Banda","4P",8,"SÍ"
"Agrupaciones","Banda","1P",9,"SÍ"
"Agrupaciones","Banda","4P",NA,NA
"Agrupaciones","Banda","4P",9,"SÍ"
"Agrupaciones","Banda","4P",9,"SÍ"
"Agrupaciones","Banda","4P",7,"SÍ"
"Agrupaciones","Banda","5P",7,"SÍ"
"Agrupaciones","Banda","2P",9,"SÍ"
"Agrupaciones","Banda","2P",7,"SÍ"
"Agrupaciones","Banda","3P",6,"SÍ"
"Agrupaciones","Banda","5P",10,"SÍ"
"Agrupaciones","Banda","4P",NA,NA
"Agrupaciones","Banda","5P",10,"SÍ"
"Agrupaciones","Banda","4P",8,"SÍ"
"Agrupaciones","Banda","6P",10,"SÍ"
"Agrupaciones","Banda","1P",8,"SÍ"
"Agrupaciones","Banda","2P",9,"SÍ"
"Agrupaciones","Banda","2P",8,"SÍ"
"Agrupaciones","Banda","4P",9,"SÍ"
"Agrupaciones","Banda","1P",8,"SÍ"
"Agrupaciones","Banda","6P",6,"SÍ"
"Agrupaciones","Banda","2P",8,"SÍ"
"Agrupaciones","Banda","2P",7,"SÍ"
"Agrupaciones","Banda","6P",10,"SÍ"
"Agrupaciones","Banda","5P",7,"SÍ"
"Agrupaciones","Banda","3P",9,"SÍ"
